date,time,id,m_20,m_25,f_20,f_25
20211031,4,11710,17836.8712,24060.6554,21907.8576,27208.7166
20211031,4,11740,12970.7184,16651.6995,15152.3521,17894.6583
20211031,5,11110,8545.2008,8947.3368,10305.0667,8627.9919
20211031,5,11140,5797.9407,7775.3417,8005.6622,8379.8022
20211031,5,11170,7828.3059,10843.176,9577.1411,12550.0214
20211031,5,11200,10727.2314,13238.2563,13161.5319,13753.078
20211031,5,11215,13688.1217,17629.9072,18016.4242,18612.4382
20211031,5,11230,14995.4443,15583.523,21009.3723,14965.9878
20211031,5,11260,10421.3094,13612.9104,11714.2002,14738.5702
20211031,5,11290,15716.5965,16240.3395,21683.3215,15957.7253
20211031,5,11305,9268.405,11050.3823,12045.7513,10844.9269
20211031,5,11320,8055.6546,9418.9441,9217.2906,9554.5624
20211031,5,11350,18063.358,16033.9513,19245.5163,15954.6339
20211031,5,11380,12466.9341,15445.4051,15169.5489,17493.0877
20211031,5,11410,12262.4926,14703.9676,19766.5674,16685.9636
20211031,5,11440,14264.5092,18365.7018,21188.0319,22312.482
20211031,5,11470,9913.6521,11568.4503,11270.9004,11987.0492
20211031,5,11500,13419.266,21561.6408,17746.9616,25842.0715
20211031,5,11530,9037.3237,14161.2684,11719.5333,14119.2941
20211031,5,11545,5671.3893,9843.1772,6598.5116,9439.3937
20211031,5,11560,10539.0266,17935.8743,13293.8376,19507.404
20211031,5,11590,14453.2672,19285.3559,17849.0309,18491.0995
20211031,5,11620,21202.38,35275.7085,25838.4943,32243.659
20211031,5,11650,11838.7925,13897.8164,14076.1441,15261.9256
20211031,5,11680,17057.5751,21425.8678,21333.6555,24185.3035
20211031,5,11710,17870.9122,24070.6182,21925.5526,27248.6676
20211031,5,11740,12966.9828,16631.9381,15162.3798,17832.4267
20211031,6,11110,8616.936,8946.456,10352.3603,8764.8162
20211031,6,11140,5785.1984,7840.5951,8055.1558,8509.7695
20211031,6,11170,7843.2891,10920.6328,9587.5813,12554.5904
20211031,6,11200,10738.8692,13331.9006,13225.8381,13804.9325
20211031,6,11215,13587.6189,17540.3612,17931.7638,18504.7249
20211031,6,11230,15013.112,15524.7309,20951.776,14942.8652
20211031,6,11260,10366.1862,13564.0678,11729.8792,14675.918
20211031,6,11290,15634.2752,16153.0037,21599.2099,15858.4598
20211031,6,11305,9267.2986,10969.2991,11991.1884,10755.1925
20211031,6,11320,8040.0631,9411.8882,9153.8781,9560.9147
20211031,6,11350,18001.6913,16028.1113,19252.379,15882.1941
20211031,6,11380,12465.6998,15381.7235,15140.9391,17462.3389
20211031,6,11410,12252.0772,14717.3482,19790.6305,16611.0511
20211031,6,11440,14112.059,18323.086,21117.2426,22237.7433
20211031,6,11470,9931.7045,11577.9932,11299.497,12034.9149
20211031,6,11500,13457.3129,21650.7403,17801.91,25921.7192
20211031,6,11530,9037.1007,14114.0091,11697.9886,14132.8782
20211031,6,11545,5705.8484,9911.9274,6656.7647,9455.1094
20211031,6,11560,10588.2352,17938.7719,13367.356,19495.9028
20211031,6,11590,14465.1347,19251.1262,17846.2179,18418.199
20211031,6,11620,21051.8209,35064.0338,25602.2252,32051.7402
20211031,6,11650,11912.6392,14057.5483,14226.8942,15498.0352
20211031,6,11680,17200.988,21654.2738,21561.2257,24588.8383
20211031,6,11710,17832.412,24034.6843,21966.3242,27217.1795
20211031,6,11740,12944.8017,16542.6676,15050.6244,17746.9162
20211031,7,11110,8695.4753,9135.0615,10397.639,8779.0629
20211031,7,11140,5908.7398,7997.1626,8261.8997,8677.8379
20211031,7,11170,7903.524,10990.6948,9641.2488,12639.0043
20211031,7,11200,10825.9098,13347.6266,13306.9008,13865.0356
20211031,7,11215,13496.514,17416.7881,17803.7673,18385.0329
20211031,7,11230,14922.1196,15464.998,21012.3343,14896.5531
20211031,7,11260,10305.0516,13383.1217,11621.9253,14577.8449
20211031,7,11290,15648.751,16076.9566,21572.9739,15820.6258
20211031,7,11305,9186.2008,10847.3103,11916.1506,10757.4036
20211031,7,11320,7984.188,9369.6534,9167.1774,9564.0796
20211031,7,11350,17981.1999,15892.3269,19111.8181,15766.8361
20211031,7,11380,12351.1996,15255.9078,15029.5231,17338.6689
20211031,7,11410,12252.5933,14689.4954,19849.8933,16603.719
20211031,7,11440,14045.3538,18265.789,21021.4039,22235.7903
20211031,7,11470,9935.5485,11559.8447,11207.3322,11956.8336
20211031,7,11500,13484.5292,21634.0035,17861.2944,25869.5197
20211031,7,11530,9000.0136,14015.4401,11748.24,14213.6828
20211031,7,11545,5727.9059,9907.2652,6648.7069,9420.0729
20211031,7,11560,10647.3692,18109.129,13513.4043,19705.1468
20211031,7,11590,14418.0655,19264.5266,17715.7666,18354.2976
20211031,7,11620,20898.6039,34874.5749,25388.814,31913.0895
20211031,7,11650,12144.2676,14349.8445,14521.2141,15664.0582
20211031,7,11680,17468.2083,22061.086,22080.2283,24897.0375
20211031,7,11710,17853.6645,24141.7605,21926.9703,27186.2903
20211031,7,11740,12960.2406,16493.538,15049.0314,17726.3408
20211031,8,11110,8746.1165,9375.4923,10548.0878,8996.3643
20211031,8,11140,6128.4855,8348.4467,8557.7499,9064.1072
20211031,8,11170,8094.0903,11413.3709,9954.2588,12827.2052
20211031,8,11200,10883.2683,13505.2268,13371.6711,13890.4624
20211031,8,11215,13406.9872,17266.2505,17655.7732,18351.7888
20211031,8,11230,14805.5693,15393.3994,20816.4076,14841.8509
20211031,8,11260,10271.8796,13246.5478,11566.54,14354.1488
20211031,8,11290,15594.2933,15970.0368,21411.0123,15704.8505
20211031,8,11305,9061.3153,10630.1309,11817.5455,10631.7729
20211031,8,11320,7965.6916,9336.1585,9153.6188,9549.8666
20211031,8,11350,17849.6901,15790.352,18859.4379,15593.4666
20211031,8,11380,12305.2363,15102.3737,14925.2334,17136.6148
20211031,8,11410,12277.9565,14610.4503,19710.521,16582.8563
20211031,8,11440,14163.6141,18316.8974,21215.8951,22342.3959
20211031,8,11470,9959.3731,11521.636,11128.7248,11895.3147
20211031,8,11500,13320.4567,21531.7408,17960.7264,25778.827
20211031,8,11530,9056.8479,14010.0805,11788.2681,14309.313
20211031,8,11545,5742.1819,9872.21,6697.9384,9441.7123
20211031,8,11560,10663.9589,18382.1749,13688.1317,19775.2511
20211031,8,11590,14372.9573,19148.8862,17773.9248,18446.3505
20211031,8,11620,20615.504,34380.2514,24930.1669,31513.6835
20211031,8,11650,12564.874,14885.2131,15077.8523,16265.3394
20211031,8,11680,18211.0399,22725.8003,23265.833,25662.9725
20211031,8,11710,17930.6283,24431.5592,22315.1357,27307.3738
20211031,8,11740,12907.6305,16380.3635,14960.8924,17509.1925
20211031,9,11110,9008.5695,9636.8336,10852.6609,9608.5389
20211031,9,11140,6488.4302,8925.6656,9015.5782,9746.2575
20211031,9,11170,8258.8523,11686.5125,10314.0221,13343.2939
20211031,9,11200,10922.8268,13492.5556,13601.6379,13937.8071
20211031,9,11215,13400.7117,17089.1569,17335.3896,18155.7114
20211031,9,11230,14591.3316,15200.0095,20414.5078,14599.0739
20211031,9,11260,10145.404,12980.0597,11255.9535,14076.7104
20211031,9,11290,15491.7817,15748.4291,21276.9813,15489.0762
20211031,9,11305,8945.7217,10444.6408,11475.0356,10315.3361
20211031,9,11320,8014.3626,9213.0646,9023.2823,9358.4496
20211031,9,11350,17661.7196,15683.9005,18731.167,15647.6667
20211031,9,11380,12149.7331,14951.6558,14655.5422,16810.4367
20211031,9,11410,12199.2505,14522.5388,19593.9186,16392.5099
20211031,9,11440,14332.4292,18481.5864,21729.0967,22540.6399
20211031,9,11470,9901.3456,11512.3225,11113.8977,11841.2396
20211031,9,11500,13167.3877,21294.3061,17844.1617,25396.2148
20211031,9,11530,8982.5881,13837.2753,11621.1463,14189.052
20211031,9,11545,5730.0991,9759.5579,6644.1506,9279.7971
20211031,9,11560,11000.36,18787.5888,14077.8986,20172.5636
20211031,9,11590,14289.6736,19122.1406,17428.2513,18222.7761
20211031,9,11620,20269.2764,33718.4621,24375.7772,30969.6114
20211031,9,11650,13186.4028,15737.4244,16189.0883,17382.5544
20211031,9,11680,19150.8087,23969.1254,24924.6734,26863.2489
20211031,9,11710,18285.8645,24800.3334,22983.9924,27563.031
20211031,9,11740,12778.2742,16231.4395,14730.0491,17304.9342
20211031,10,11110,9405.2548,10090.7536,11564.5024,10509.2296
20211031,10,11140,6800.17,9392.1863,9579.789,10215.0112
20211031,10,11170,8785.8787,11978.1407,10716.3583,13736.6969
20211031,10,11200,10984.058,13725.9134,13762.3222,14095.1964
20211031,10,11215,13397.3178,17026.399,17165.3535,18027.3881
20211031,10,11230,14481.1347,15000.9854,20071.2807,14387.9035
20211031,10,11260,10024.8493,12692.3887,11054.7221,13671.5906
20211031,10,11290,15315.1334,15559.9136,20963.7404,15198.6972
20211031,10,11305,8760.9186,10234.0368,11277.5278,10130.0938
20211031,10,11320,7786.6035,9038.3944,8865.7416,9304.2485
20211031,10,11350,17584.6226,15527.1704,18495.6839,15270.6383
20211031,10,11380,11921.1466,14584.7006,14285.7855,16423.1311
20211031,10,11410,12165.3708,14543.4666,19626.3211,16255.2923
20211031,10,11440,14567.2111,18991.1832,22320.8851,23197.7366
20211031,10,11470,9821.7971,11402.9599,11091.8854,11800.1091
20211031,10,11500,13133.23,20968.2645,17589.7184,25002.4572
20211031,10,11530,8961.2636,13902.2184,11581.3134,14104.1348
20211031,10,11545,5751.1445,9976.7704,6598.2889,9137.3795
20211031,10,11560,11198.6366,19008.7721,14543.6692,20578.2197
20211031,10,11590,14285.7447,18950.7481,17205.2503,17835.1712
20211031,10,11620,19880.122,33112.2943,23817.445,30341.8966
20211031,10,11650,13786.8423,16710.3817,17059.7548,18535.0099
20211031,10,11680,19824.115,25223.1421,26187.6873,28470.6522
20211031,10,11710,18461.665,24945.2603,23504.1164,28050.7045
20211031,10,11740,12611.5264,16041.8482,14588.4454,17079.7756
20211031,11,11110,9930.1471,10909.1114,12904.2607,11922.8577
20211031,11,11140,7142.099,9933.0881,9792.6663,10780.2036
20211031,11,11170,8958.4079,12426.6973,11502.6964,14560.9444
20211031,11,11200,11209.861,14104.0553,14201.4367,14483.1506
20211031,11,11215,13310.6995,16958.3357,17035.4607,17841.5252
20211031,11,11230,14279.5969,14814.2301,19683.1933,14170.2365
20211031,11,11260,9885.7507,12466.3735,10920.3111,13468.9619
20211031,11,11290,15097.2235,15417.4439,20594.7589,14769.9758
20211031,11,11305,8604.0861,10029.2482,10977.0222,9863.1969
20211031,11,11320,7612.9308,8951.644,8777.2985,8998.4402
20211031,11,11350,17592.3763,15372.1671,18236.9008,14990.6584
20211031,11,11380,11689.7903,14189.1721,13877.3104,16015.7745
20211031,11,11410,12263.7046,14240.5968,19505.0598,16117.8537
20211031,11,11440,15019.6556,19488.5344,23241.5569,23953.482
20211031,11,11470,9739.9518,11358.4581,10930.838,11565.963
20211031,11,11500,13180.6741,20855.1922,17345.4133,24710.6026
20211031,11,11530,9072.307,13869.5749,11529.3107,13929.5294
20211031,11,11545,5737.8467,9846.2114,6521.5467,9005.7703
20211031,11,11560,11541.804,19762.1176,15146.4531,21335.8247
20211031,11,11590,14120.3453,18670.0204,16817.2074,17335.3401
20211031,11,11620,19565.3713,32459.0553,23174.8793,29512.4357
20211031,11,11650,14291.5287,17301.3116,17856.397,19485.8276
20211031,11,11680,20597.2698,26501.3073,27415.7746,29947.579
20211031,11,11710,18971.6085,25352.6896,24412.7453,28531.0264
20211031,11,11740,12412.3772,15743.0846,14322.5804,16605.381
20211031,12,11110,10793.9974,11936.1254,14659.0349,13625.678
20211031,12,11140,7160.1081,10297.3249,10114.6487,11408.388
20211031,12,11170,9427.1089,12912.7662,12516.8835,15528.7747
20211031,12,11200,11280.7667,14406.8108,14657.2305,15142.0789
20211031,12,11215,13500.5662,16986.1544,17185.4062,17729.1084
20211031,12,11230,14078.7588,14554.7753,18983.4546,13641.7535
20211031,12,11260,9783.0343,12109.198,10709.7933,13197.6318
20211031,12,11290,14761.7935,15097.34,20296.8199,14429.0585
20211031,12,11305,8500.3145,9840.0029,10710.9593,9713.6789
20211031,12,11320,7495.5791,8828.3034,8514.4012,8729.0701
20211031,12,11350,17484.6664,15441.523,18071.1533,14745.3362
20211031,12,11380,11464.0065,13805.4139,13538.4059,15338.4478
20211031,12,11410,12153.5435,14227.6593,19328.3239,15944.1427
20211031,12,11440,15840.2439,20082.6959,24643.3602,25071.3089
20211031,12,11470,9562.7995,11270.1659,10734.2098,11310.1876
20211031,12,11500,13030.9142,20542.63,17099.4234,24082.7226
20211031,12,11530,9134.951,13803.5328,11410.5745,13885.8526
20211031,12,11545,5758.6167,9750.6542,6521.8113,8839.373
20211031,12,11560,11763.3531,20138.6846,15586.4133,22027.9072
20211031,12,11590,13959.4249,18493.1301,16637.6658,17007.255
20211031,12,11620,19250.5371,31732.5672,22679.4849,28765.1652
20211031,12,11650,14853.5267,18161.8681,18407.6847,20495.3725
20211031,12,11680,21372.8198,27315.0168,28645.4011,31429.1411
20211031,12,11710,19354.1811,25743.2568,25239.4495,29288.2027
20211031,12,11740,12127.2129,15568.2754,14079.887,16218.1436
20211031,13,11110,11165.6427,12945.5924,16854.5924,15651.6889
20211031,13,11140,7784.4935,10582.3665,10802.3426,12078.4672
20211031,13,11170,9933.7768,13452.4761,13156.096,16243.6497
20211031,13,11200,11395.6149,14656.5626,14998.1455,15873.1119
20211031,13,11215,13817.1749,17051.1696,17276.8349,17712.5686
20211031,13,11230,13731.2015,14270.9881,18694.8288,13425.1874
20211031,13,11260,9681.7051,12038.1283,10303.7908,12718.1628
20211031,13,11290,14662.1546,14987.5462,19810.1928,14265.0769
20211031,13,11305,8389.7049,9732.1704,10539.7992,9512.5245
20211031,13,11320,7289.5857,8578.3053,8334.1285,8371.9423
20211031,13,11350,17213.598,15390.5094,17547.9354,14447.3474
20211031,13,11380,11269.6129,13485.0367,13055.9035,14702.3826
20211031,13,11410,11998.0249,14053.8047,19104.0123,15855.8093
20211031,13,11440,16646.4123,21035.6174,26334.4441,26687.9914
20211031,13,11470,9519.2135,11077.7302,10501.287,11000.7806
20211031,13,11500,13033.9289,20236.8523,16958.5129,23508.2844
20211031,13,11530,9053.1007,13710.7109,11166.257,13577.2946
20211031,13,11545,5638.1307,9565.9966,6256.9672,8631.66
20211031,13,11560,12122.1205,20730.4843,16237.8422,22697.0423
20211031,13,11590,13864.432,18351.3688,16228.7659,16638.0005
20211031,13,11620,18786.9705,31092.5264,22203.6326,27835.6723
20211031,13,11650,15164.8971,18698.6118,18917.5482,20798.2637
20211031,13,11680,21691.9353,28227.6344,29865.4518,32538.2951
20211031,13,11710,19678.803,26373.2873,25881.7481,29999.7066
20211031,13,11740,12131.538,15296.8951,13632.7515,15842.3465
20211031,14,11110,11971.8285,13727.5412,18832.1769,17247.9384
20211031,14,11140,7845.5988,10599.6926,11372.0617,12300.413
20211031,14,11170,10241.6549,14031.9367,13942.4632,17021.7535
20211031,14,11200,11597.3362,15093.5048,15617.2674,16345.0903
20211031,14,11215,14056.2286,16993.3926,17483.3436,17706.2514
20211031,14,11230,13472.0234,14187.0579,17978.0021,13163.7151
20211031,14,11260,9455.1476,11828.8818,10129.1505,12414.9908
20211031,14,11290,14453.8789,14690.3533,19267.5118,13962.536
