연번,업종명,상호,영업소소재지(도로 명),"실외, 실내",실외흡연실 형태,
178,휴게음식점,짬타이거피씨(PC)방,"서울특별시 광진구 자양로 202, 2층 (구의동)",실내,,
179,휴게음식점,엑소엑소,"서울특별시 광진구 자양로 37길 7, 1층 (구의동)",실내,,
180,휴게음식점,요거프레소,서울특별시 광진구 천호대로 576 (능동),실내,,
181,대학교,건국대학교 경영관뒤,서울특별시 광진구 능동로 120 (화양동),실외,개방형,
182,대학교,건국대학교 공학관 우측,서울특별시 광진구 능동로 120 (화양동),실외,개방형,
183,대학교,건국대학교 법학관,서울특별시 광진구 능동로 120 (화양동),실외,개방형,
184,대학교,건국대학교 사회과학관,서울특별시 광진구 능동로 120 (화양동),실외,개방형,
185,대학교,건국대학교 상허도서관 입구,서울특별시 광진구 능동로 120 (화양동),실외,개방형,
186,대학교,건국대학교 상허연구관,서울특별시 광진구 능동로 120 (화양동),실외,개방형,
187,대학교,건국대학교 생명과학관 우측,서울특별시 광진구 능동로 120 (화양동),실외,개방형,
188,대학교,건국대학교 수의과학관 뒤,서울특별시 광진구 능동로 120 (화양동),실외,개방형,
189,대학교,건국대학교 신공학관,서울특별시 광진구 능동로 120 (화양동),실외,개방형,
190,대학교,건국대학교 인문관뒤,서울특별시 광진구 능동로 120 (화양동),실외,개방형,
191,대학교,건국대학교 학생회관 좌측,서울특별시 광진구 능동로 120 (화양동),실외,개방형,
192,대학교,건국대학교 행정관 뒤,서울특별시 광진구 능동로 120 (화양동),실외,개방형,
193,대학교,세종대학교 군자관 좌측,서울특별시 광진구 능동로 209 (군자동),실외,개방형,
194,대학교,세종대학교 대양홀센터,서울특별시 광진구 능동로 209 (군자동),실외,개방형,
195,대학교,세종대학교 동천관,서울특별시 광진구 능동로 209 (군자동),실외,개방형,
196,대학교,세종대학교 모자르트홀,서울특별시 광진구 능동로 209 (군자동),실외,개방형,
197,대학교,세종대학교 애지헌 우측,서울특별시 광진구 능동로 209 (군자동),실외,개방형,
198,대학교,세종대학교 용덕관 우측,서울특별시 광진구 능동로 209 (군자동),실외,개방형,
199,대학교,세종대학교 학생회관 우측,서울특별시 광진구 능동로 209 (군자동),실외,개방형,
200,자치단체 청사,중곡4동 주민자치센터,서울특별시 광진구 긴고랑로 131 (중곡동),실외,개방형,
201,자치단체 청사,광나루지구대,서울특별시 광진구 아차산로 567 9 (광장동),실외,개방형,
202,공공기관 청사,광진소방서,서울특별시 광진구 광나루로 480 (구의동),실외,완전개방형,
203,공공기관 청사,광진경찰서,서울특별시 광진구 자양로 167 (구의동),실외,완전개방형,
204,관광숙박업,동서울 관광호텔,서울특별시 광진구 구의강변로 38 (구의동),실외,완전개방형,
205,관광숙박업,더 클래식 500 펜타즈,서울특별시 광진구 능동로 90 (자양동),실외,완전개방형,
206,관광숙박업,에이치 에비뉴 건대점,서울특별시 광진구 동일로 156 (화양동),실외,완전개방형,
