"","address","purpose1","purpose2","lon","lat"
"12887","서울특별시 서초구 서초동 1548-9","제1종근린생활시설","이(미)용원",127.0101944,37.489492
"12888","서울특별시 서초구 서초동 1548-10","제2종근린생활시설","사무소",127.0102238,37.4893183
"12889","서울특별시 서초구 서초동 1548-11","단독주택","다가구주택",127.0103005,37.4891649
"12890","서울특별시 서초구 서초동 1548-12","공동주택","다세대주택",127.0103776,37.4893214
"12891","서울특별시 서초구 서초동 1548-13","제2종근린생활시설","사무소",127.010428,37.4894399
"12892","서울특별시 서초구 서초동 1549-2","공동주택","다세대주택",127.0099469,37.4899927
"12893","서울특별시 서초구 서초동 1549-3","공동주택","아파트",127.0104433,37.4901662
"12894","서울특별시 서초구 서초동 1549-5","제2종근린생활시설","사무소",127.010601,37.4897008
"12895","서울특별시 서초구 서초동 1549-6","제2종근린생활시설","사무소",127.0105323,37.4895921
"12896","서울특별시 서초구 서초동 1549-7","업무시설","사무소",127.0103641,37.4897403
"12897","서울특별시 서초구 서초동 1549-8","업무시설","사무소",127.0100506,37.4897647
"12898","서울특별시 서초구 서초동 1549-10","제2종근린생활시설","사무소",127.0099165,37.4896473
"12899","서울특별시 서초구 서초동 1549-11","제2종근린생활시설","수리점",127.0097655,37.4896046
"12900","서울특별시 서초구 서초동 1549-12","제2종근린생활시설","일반음식점",127.009669,37.4897182
"12901","서울특별시 서초구 서초동 1549-20","제2종근린생활시설","사무소",127.0106418,37.4898651
"12902","서울특별시 서초구 서초동 1550-1","제2종근린생활시설","일반음식점",127.0093969,37.4902836
"12903","서울특별시 서초구 서초동 1550-2","제1종근린생활시설","소매점",127.0094588,37.4900517
"12904","서울특별시 서초구 서초동 1550-4","단독주택","단독주택",127.0097022,37.4902042
"12905","서울특별시 서초구 서초동 1550-5","단독주택","다가구주택",127.0096229,37.4902981
"12906","서울특별시 서초구 서초동 1550-6","제2종근린생활시설","기타제2종근생활시설",127.0095363,37.4904316
"12907","서울특별시 서초구 서초동 1550-7","교육연구시설","교육연구시설",127.0097657,37.4904471
"12908","서울특별시 서초구 서초동 1550-8","제2종근린생활시설","사무소",127.0099248,37.4905565
"12909","서울특별시 서초구 서초동 1550-10","업무시설","사무소",127.0101379,37.4906863
